wl new,corr new
629.5,8.75079
630,8.80914
630.5,8.8679
631,8.92707
631.5,8.98666
632,9.04667
632.5,9.1071
633,9.16795
633.5,9.22924
634,9.29095
634.5,9.35309
635,9.41567
635.5,9.47868
636,9.54214
636.5,9.60603
637,9.67037
637.5,9.73516
638,9.80039
638.5,9.86608
639,9.93222
639.5,9.99882
640,10.04
640.5,10.1
641,10.17
641.5,10.24
642,10.29
642.5,10.35
643,10.41
643.5,10.47
644,10.5225
644.5,10.5698
645,10.6188
645.5,10.6696
646,10.7221
646.5,10.7762
647,10.8321
647.5,10.8897
648,10.9489
648.5,11.0097
649,11.0722
649.5,11.1363
650,11.2019
650.5,11.2692
651,11.338
651.5,11.4084
652,11.4803
652.5,11.5538
653,11.6287
653.5,11.7052
654,11.7831
654.5,11.8626
655,11.9435
655.5,12.0258
656,12.1097
656.5,12.1949
657,12.2816
657.5,12.3698
658,12.4593
658.5,12.5503
659,12.6426
659.5,12.7364
660,12.8315
660.5,12.9281
661,13.026
661.5,13.1252
662,13.2259
662.5,13.3279
663,13.4313
663.5,13.5361
664,13.6422
664.5,13.7496
665,13.8584
665.5,13.9686
666,14.0801
666.5,14.1929
667,14.3072
667.5,14.4227
668,14.5396
668.5,14.6579
669,14.7775
669.5,14.8984
670,15.0208
670.5,15.1444
671,15.2695
671.5,15.3959
672,15.5237
672.5,15.6528
673,15.7833
673.5,15.9152
674,16.0485
674.5,16.1832
675,16.3193
675.5,16.4569
676,16.5958
676.5,16.7361
677,16.8779
677.5,17.0211
678,17.1658
678.5,17.312
679,17.4596
679.5,17.6086
680,17.7592
680.5,17.9113
681,18.0649
681.5,18.22
682,18.3767
682.5,18.5349
683,18.6947
683.5,18.856
684,19.019
684.5,19.1835
685,19.3497
685.5,19.5175
686,19.687
686.5,19.8581
687,20.031
687.5,20.2055
688,20.3817
688.5,20.5597
689,20.7395
689.5,20.921
690,21.1043
690.5,21.2894
691,21.4764
691.5,21.6652
692,21.8559
692.5,22.0485
693,22.243
693.5,22.4395
694,22.6379
694.5,22.8383
695,23.0408
695.5,23.2452
696,23.4517
696.5,23.6603
697,23.8711
697.5,24.0839
698,24.2989
698.5,24.5161
699,24.7355
699.5,24.9572
700,25.1811
700.5,25.4073
701,25.6359
701.5,25.8668
702,26.1001
702.5,26.3358
703,26.5739
703.5,26.8145
704,27.0576
704.5,27.3033
705,27.5515
705.5,27.8024
706,28.0558
706.5,28.312
707,28.5708
707.5,28.8324
708,29.0967
708.5,29.3639
709,29.6339
709.5,29.9068
710,30.1825
710.5,30.4613
711,30.743
711.5,31.0277
712,31.3155
712.5,31.6064
713,31.9005
713.5,32.1977
714,32.4981
714.5,32.8018
715,33.1088
715.5,33.4191
716,33.7328
716.5,34.05
717,34.3706
717.5,34.6947
718,35.0223
718.5,35.3536
719,35.6884
719.5,36.027
720,36.3693
720.5,36.7153
721,37.0652
721.5,37.4189
722,37.7766
722.5,38.1382
723,38.5038
723.5,38.8734
724,39.2472
724.5,39.6251
725,40.0072
725.5,40.3935
726,40.7841
726.5,41.1791
727,41.5784
727.5,41.9823
728,42.3906
728.5,42.8034
729,43.2209
729.5,43.643
730,44.0698
730.5,44.5014
731,44.9378
731.5,45.3791
732,45.8252
732.5,46.2764
733,46.7326
733.5,47.1939
734,47.6604
734.5,48.132
735,48.6089
735.5,49.0911
736,49.5787
736.5,50.0718
737,50.5703
737.5,51.0744
738,51.5841
738.5,52.0995
739,52.6206
739.5,53.1476
